x,y
198952.9972,1548497
199452.9972,1548497
199952.9972,1548497
200452.9972,1548497
200952.9972,1548497
201452.9972,1548497
201952.9972,1548497
202452.9972,1548497
202952.9972,1548497
203452.9972,1548497
203952.9972,1548497
204452.9972,1548497
204952.9972,1548497
205452.9972,1548497
205952.9972,1548497
206452.9972,1548497
206952.9972,1548497
207452.9972,1548497
207952.9972,1548497
208452.9972,1548497
208952.9972,1548497
209452.9972,1548497
209952.9972,1548497
210452.9972,1548497
210952.9972,1548497
211452.9972,1548497
211952.9972,1548497
212452.9972,1548497
212952.9972,1548497
213452.9972,1548497
214452.9972,1548497
214952.9972,1548497
215452.9972,1548497
216452.9972,1548497
217952.9972,1548497
218452.9972,1548497
218952.9972,1548497
219452.9972,1548497
219952.9972,1548497
220452.9972,1548497
221452.9972,1548497
221952.9972,1548497
222952.9972,1548497
224452.9972,1548497
224952.9972,1548497
225452.9972,1548497
187952.9972,1548997
190452.9972,1548997
190952.9972,1548997
191452.9972,1548997
191952.9972,1548997
192452.9972,1548997
192952.9972,1548997
193452.9972,1548997
193952.9972,1548997
194452.9972,1548997
194952.9972,1548997
195452.9972,1548997
195952.9972,1548997
196452.9972,1548997
196952.9972,1548997
197452.9972,1548997
197952.9972,1548997
198452.9972,1548997
198952.9972,1548997
199452.9972,1548997
199952.9972,1548997
200452.9972,1548997
200952.9972,1548997
201452.9972,1548997
201952.9972,1548997
202452.9972,1548997
202952.9972,1548997
203452.9972,1548997
203952.9972,1548997
204452.9972,1548997
204952.9972,1548997
205452.9972,1548997
205952.9972,1548997
206452.9972,1548997
206952.9972,1548997
207452.9972,1548997
207952.9972,1548997
208452.9972,1548997
208952.9972,1548997
209452.9972,1548997
209952.9972,1548997
210452.9972,1548997
210952.9972,1548997
211452.9972,1548997
211952.9972,1548997
212452.9972,1548997
212952.9972,1548997
213452.9972,1548997
213952.9972,1548997
214452.9972,1548997
214952.9972,1548997
215452.9972,1548997
216952.9972,1548997
217452.9972,1548997
217952.9972,1548997
218452.9972,1548997
218952.9972,1548997
219452.9972,1548997
219952.9972,1548997
220452.9972,1548997
220952.9972,1548997
222952.9972,1548997
223452.9972,1548997
224952.9972,1548997
225452.9972,1548997
225952.9972,1548997
189952.9972,1549497
190452.9972,1549497
190952.9972,1549497
191452.9972,1549497
191952.9972,1549497
192452.9972,1549497
192952.9972,1549497
193452.9972,1549497
193952.9972,1549497
194452.9972,1549497
194952.9972,1549497
195452.9972,1549497
195952.9972,1549497
196452.9972,1549497
196952.9972,1549497
197452.9972,1549497
197952.9972,1549497
198452.9972,1549497
198952.9972,1549497
199452.9972,1549497
199952.9972,1549497
200452.9972,1549497
200952.9972,1549497
201452.9972,1549497
201952.9972,1549497
202452.9972,1549497
202952.9972,1549497
203452.9972,1549497
203952.9972,1549497
204452.9972,1549497
204952.9972,1549497
205452.9972,1549497
205952.9972,1549497
206452.9972,1549497
206952.9972,1549497
207452.9972,1549497
207952.9972,1549497
208452.9972,1549497
208952.9972,1549497
209452.9972,1549497
209952.9972,1549497
210452.9972,1549497
210952.9972,1549497
211452.9972,1549497
211952.9972,1549497
212452.9972,1549497
212952.9972,1549497
213452.9972,1549497
213952.9972,1549497
214452.9972,1549497
214952.9972,1549497
215452.9972,1549497
215952.9972,1549497
216452.9972,1549497
216952.9972,1549497
217452.9972,1549497
217952.9972,1549497
218452.9972,1549497
218952.9972,1549497
219452.9972,1549497
219952.9972,1549497
220452.9972,1549497
222452.9972,1549497
222952.9972,1549497
223452.9972,1549497
223952.9972,1549497
224952.9972,1549497
225452.9972,1549497
225952.9972,1549497
187952.9972,1549997
189452.9972,1549997
189952.9972,1549997
190452.9972,1549997
190952.9972,1549997
191452.9972,1549997
191952.9972,1549997
192452.9972,1549997
192952.9972,1549997
193452.9972,1549997
193952.9972,1549997
194452.9972,1549997
194952.9972,1549997
195452.9972,1549997
195952.9972,1549997
196452.9972,1549997
196952.9972,1549997
197452.9972,1549997
197952.9972,1549997
198452.9972,1549997
198952.9972,1549997
199452.9972,1549997
199952.9972,1549997
200452.9972,1549997
200952.9972,1549997
201452.9972,1549997
201952.9972,1549997
202452.9972,1549997
202952.9972,1549997
203452.9972,1549997
203952.9972,1549997
204452.9972,1549997
204952.9972,1549997
205452.9972,1549997
205952.9972,1549997
206452.9972,1549997
206952.9972,1549997
207452.9972,1549997
207952.9972,1549997
208452.9972,1549997
208952.9972,1549997
209452.9972,1549997
209952.9972,1549997
210452.9972,1549997
210952.9972,1549997
211452.9972,1549997
211952.9972,1549997
212452.9972,1549997
212952.9972,1549997
213452.9972,1549997
213952.9972,1549997
214452.9972,1549997
214952.9972,1549997
215452.9972,1549997
215952.9972,1549997
216452.9972,1549997
216952.9972,1549997
217452.9972,1549997
217952.9972,1549997
218452.9972,1549997
218952.9972,1549997
219452.9972,1549997
219952.9972,1549997
220452.9972,1549997
220952.9972,1549997
221452.9972,1549997
223952.9972,1549997
224452.9972,1549997
224952.9972,1549997
225452.9972,1549997
225952.9972,1549997
188452.9972,1550497
188952.9972,1550497
189452.9972,1550497
189952.9972,1550497
190452.9972,1550497
190952.9972,1550497
191452.9972,1550497
